ds,y
2022-09-17,1.466725
2022-09-18,2.1068065
2022-09-19,0.26388168
2022-09-20,1.4209833
2022-09-21,0.54036236
2022-09-22,1.6867895
2022-09-23,1.3552346
2022-09-24,0.3867047
2022-09-25,1.9581299
2022-09-26,0.7439787
2022-09-27,0.2438379
2022-09-28,1.273284
2022-09-29,0.31793013
2022-09-30,0.71189123
2022-10-01,1.384555
2022-10-02,2.4941611
2022-10-03,0.46240723
2022-10-04,0.25764325
2022-10-05,0.9845075
2022-10-06,2.6980703
2022-10-07,1.9075638
2022-10-08,1.7157707
2022-10-09,2.5122402
2022-10-10,3.080181
2022-10-11,2.8901021
2022-10-12,0.57260317
2022-10-13,2.8055136
2022-10-14,0.849668
2022-10-15,2.2724817
2022-10-16,3.589059
2022-10-17,2.364366
2022-10-18,2.7756689
2022-10-19,2.2281897
2022-10-20,0.61480254
2022-10-21,0.38462737
2022-10-22,2.1210728
2022-10-23,0.75065213
2022-10-24,0.46128392
2022-10-25,0.5664008
2022-10-26,0.12562501
2022-10-27,0.8246393
2022-10-28,0.62920034
2022-10-29,0.5484268
2022-10-30,0.24933226
2022-10-31,1.0436766
2022-11-01,0.2698262
2022-11-02,0.12441375
2022-11-03,0.15729512
2022-11-04,2.259528
2022-11-05,5.3020606
2022-11-06,2.9713707
2022-11-07,1.5943748
2022-11-08,1.023712
2022-11-09,0.7969659
2022-11-10,0.43392834
2022-11-11,2.6387434
2022-11-12,4.3064194
2022-11-13,2.5131705
2022-11-14,2.5609915
2022-11-15,1.3996954
2022-11-16,1.8530747
2022-11-17,1.477406
2022-11-18,1.9349238
2022-11-19,2.3171852
2022-11-20,0.7787745
2022-11-21,0.49450517
2022-11-22,4.3108916
2022-11-23,1.7460982
2022-11-24,1.4823008
2022-11-25,1.6337976
2022-11-26,1.3111213
2022-11-27,1.0350233
2022-11-28,1.6762981
2022-11-29,1.3784131
2022-11-30,13.338477
2022-12-01,1.6717514
2022-12-02,1.4605156
2022-12-03,2.9357307
2022-12-04,4.160052
2022-12-05,8.842956
2022-12-06,3.845237
2022-12-07,0.8361972
2022-12-08,2.117235
2022-12-09,1.7709364
2022-12-10,0.9431181
2022-12-11,2.732402
2022-12-12,3.171365
2022-12-13,0.9881854
2022-12-14,0.65528566
2022-12-15,0.16187078
2022-12-16,0.10070313
2022-12-17,1.3102877
2022-12-18,0.9153684
2022-12-19,0.2122128
2022-12-20,0.88812727
2022-12-21,0.95004153
2022-12-22,1.4262524
2022-12-23,4.1343594
2022-12-24,2.9869835
2022-12-25,3.1262996
2022-12-26,1.4028296
2022-12-27,2.937215
2022-12-28,3.2410748
2022-12-29,2.3693497
2022-12-30,2.3648856
2022-12-31,2.4444847
2023-01-01,5.5380683
2023-01-02,2.8027143
2023-01-03,1.4867234
2023-01-04,0.32326594
2023-01-05,1.2733973
2023-01-06,0.81961244
2023-01-07,0.8282812
2023-01-08,1.2333132
2023-01-09,1.4958464
2023-01-10,1.4248799
2023-01-11,1.7024689
2023-01-12,0.81069446
2023-01-13,1.9366833
2023-01-14,2.8563368
2023-01-15,12.228699
2023-01-16,1.9217404
2023-01-17,9.743554
2023-01-18,9.640879
2023-01-19,5.6978936
2023-01-20,2.827593
2023-01-21,0.073630266
2023-01-22,1.2811098
2023-01-23,2.357302
2023-01-24,1.7705984
2023-01-25,0.9808512
2023-01-26,1.3864533
2023-01-27,1.6011881
2023-01-28,0.89245015
2023-01-29,0.66908956
2023-01-30,1.2595053
2023-01-31,3.203022
2023-02-01,2.3788784
2023-02-02,1.4887905
2023-02-03,0.39113125
2023-02-04,5.766195
2023-02-05,3.084108
2023-02-06,4.596319
2023-02-07,0.4106106
2023-02-08,1.4411926
2023-02-09,3.7648914
2023-02-10,2.978571
2023-02-11,2.2256799
2023-02-12,3.58529
2023-02-13,1.590025
2023-02-14,2.6229668
2023-02-15,1.9961939
2023-02-16,4.3757234
2023-02-17,2.1888323
2023-02-18,1.3577455
2023-02-19,4.8977427
2023-02-20,1.8664058
2023-02-21,0.5036048
2023-02-22,8.550603
2023-02-23,4.785526
2023-02-24,3.0975854
2023-02-25,4.4311404
2023-02-26,1.640972
2023-02-27,1.4825443
2023-02-28,0.8567329
2023-03-01,1.9547228
2023-03-02,1.1128732
2023-03-03,0.35274243
2023-03-04,0.9036961
2023-03-05,0.73050326
2023-03-06,1.725454
2023-03-07,0.9880728
2023-03-08,2.4439683
2023-03-09,1.5891842
2023-03-10,1.1291208
2023-03-11,1.8873392
2023-03-12,2.3234663
2023-03-13,3.6700077
2023-03-14,1.166877
2023-03-15,10.306781
2023-03-16,12.35112
2023-03-17,9.648143
2023-03-18,15.646972
2023-03-19,10.743001
2023-03-20,9.678725
2023-03-21,17.640213
2023-03-22,7.0472856
2023-03-23,2.5423975
2023-03-24,2.238185
2023-03-25,6.5926166
2023-03-26,10.366268
2023-03-27,1.9424096
2023-03-28,1.4616209
