ds,mean,max,p90,p95
2021-02-15,2.7272282,3.2497156,2.9814749,3.0663452
2021-02-16,1.7298442,2.6140985,2.3658597,2.4680457
2021-02-17,1.0943683,1.6801305,1.5194981,1.5690782
2021-02-18,0.20081227,0.40639862,0.3185831,0.36682636
2021-02-19,0.2666839,0.39882958,0.37412122,0.3862884
2021-02-20,0.7387032,1.6450435,1.3555213,1.5310756
2021-02-21,1.2949487,2.021387,1.7029676,1.7605575
2021-02-22,0.1353385,0.4271919,0.34603828,0.37384167
2021-02-23,0.17721345,0.8402802,0.4239205,0.7249616
2021-02-24,1.8812637,2.463925,2.1848142,2.2984846
2021-02-25,3.4971685,3.9816551,3.9612763,3.9785113
2021-02-26,11.033923,19.385847,17.579752,17.84951
2021-02-27,4.760491,6.3282547,6.17195,6.2968593
2021-02-28,4.5155854,7.767892,6.8764834,7.5913024
2021-03-01,8.50396,11.956492,11.247593,11.764949
2021-03-02,2.8117588,4.3767614,4.00064,4.249825
2021-03-03,2.015939,2.531316,2.3663726,2.4176385
2021-03-04,3.5649955,4.4960117,4.232457,4.3425527
2021-03-05,2.0531218,2.3867986,2.280522,2.3394024
2021-03-06,1.5775596,2.5516078,1.9668963,2.2049553
2021-03-07,0.12954207,0.282152,0.18760115,0.20970292
2021-03-08,0.69069463,0.9545662,0.85388535,0.9281877
2021-03-09,2.3758929,3.3053608,2.9116623,3.2377532
2021-03-10,1.3077024,1.792927,1.658964,1.6750988
2021-03-11,1.7527775,2.0693526,1.9427185,1.9490722
2021-03-12,1.8656029,2.4227839,2.3522081,2.4058332
2021-03-13,2.1286438,2.3206747,2.2603335,2.290033
2021-03-14,0.5910961,1.1150348,0.9307084,1.0583024
2021-03-15,1.952332,4.5125923,2.9913878,3.6372862
2021-03-16,1.4123796,1.9339247,1.7476231,1.8876438
2021-03-17,0.05466711,0.16296208,0.1211267,0.13459362
2021-03-18,1.7702557,2.6015446,2.4146125,2.4994552
2021-03-19,1.2999336,2.109486,1.9320503,1.9803524
2021-03-20,2.5509477,3.7841902,3.327412,3.4017363
2021-03-21,3.546758,7.1490793,5.9774804,6.6989737
2021-03-22,1.7672111,1.9604787,1.9115143,1.935734
2021-03-23,2.4381187,3.5105453,3.289273,3.3201861
2021-03-24,4.534455,6.595804,5.980235,6.103033
2021-03-25,2.3497684,3.4058337,3.2055705,3.245981
